{0: 0.006700}
{1: 0.005415}
{2: 0.006180}
{3: 0.004215}
{4: 0.004979}
{5: 0.006323}
{6: 0.000000}
{7: 0.011000}
{8: 0.013760}
{9: 0.004953}
{10: 0.007248}
{11: 0.009028}
{12: 0.006399}
{13: 0.006638}
{14: 0.010572}
{15: 0.010083}
{16: 0.009534}
{17: 0.009823}
{18: 0.009346}
{19: 0.007657}
{20: 0.010523}
{21: 0.010595}
{22: 0.007167}
{23: 0.007539}
{24: 0.003482}
{25: 0.023390}
{26: 0.009102}
{27: 0.005727}
{28: 0.005622}
{29: 0.006170}
{30: 0.005157}
{31: 0.005929}
{32: 0.005981}
{33: 0.000000}
{34: 0.000000}
{35: 0.008079}
{36: 0.005446}
{37: 0.005054}
{38: 0.007624}
{39: 0.005427}
{40: 0.006689}
{41: 0.007177}
{42: 0.009071}
{43: 0.007923}
{44: 0.013047}
{45: 0.007946}
{46: 0.007333}
{47: 0.009993}
{48: 0.007356}
{49: 0.017842}
{50: 0.012002}
{51: 0.014972}
{52: 0.009848}
{53: 0.010260}
{54: 0.006258}
{55: 0.006132}
{56: 0.006322}
{57: 0.006062}
{58: 0.005743}
{59: 0.007832}
{60: 0.000000}
{61: 0.015875}
{62: 0.000000}
{63: 0.005547}
{64: 0.005772}
{65: 0.006976}
{66: 0.004938}
{67: 0.005152}
{68: 0.006419}
{69: 0.010494}
{70: 0.010681}
{71: 0.013356}
{72: 0.027702}
{73: 0.013872}
{74: 0.009167}
{75: 0.007773}
{76: 0.015029}
{77: 0.009782}
{78: 0.011912}
{79: 0.006641}
{80: 0.005856}
